timestamp,open,high,low,close,volume
2015-01-02,170.47255808561408,170.88556456408185,168.65531949719002,169.68783569335938,121465900
2015-01-05,168.64708148544278,168.81228157325947,166.31773125812248,166.62335205078125,169632600
2015-01-06,166.92894957322903,167.44934175106874,164.2609313452381,165.0539093017578,209151400
2015-01-07,166.37555138501293,167.44937089898684,165.92950987204858,167.11070251464844,125346700
2015-01-08,168.51490105817123,170.2908365016817,168.49838987366132,170.07606506347656,147217800
2015-01-09,170.48908829723226,170.5056120873232,168.10191108942752,168.71316528320312,158567300
2015-01-12,168.8453161791333,169.00226066188512,166.7885393225758,167.3915252685547,144396100
2015-01-13,168.60576096190292,169.72913908899594,165.62385367921945,166.9207000732422,214553300
2015-01-14,164.91348263853635,166.111211515272,164.0213997320499,165.9129638671875,192991100
2015-01-15,166.54906847063768,166.86294495914143,164.2775318580167,164.39317321777344,176613900
2015-01-16,164.18659841874955,166.70594044959492,164.00487456052744,166.5489959716797,211879600
2015-01-20,167.18503146744484,167.44936168573867,165.3430259480595,166.90419006347656,130991100
2015-01-21,166.4415870447863,168.22577780182866,165.9790218716173,167.74668884277344,122942700
2015-01-22,168.49842947284804,170.3734702759483,167.12724459882256,170.24131774902344,174356000
2015-01-23,169.9851546972276,170.24122923165683,169.17566574838096,169.30783081054688,117516800
2015-01-26,169.0931194349828,169.79522289212784,168.3827477816635,169.70436096191406,92009700
2015-01-27,167.6558608098982,168.60577072506626,166.63986834178553,167.46588134765625,134044600
2015-01-28,168.64708417164115,168.74620170511815,165.12827308965936,165.31825256347656,168514300
2015-01-29,165.5164476333486,167.1023906847634,164.11221580090753,166.84632873535156,173585400
2015-01-30,165.6734494946458,166.9950628601836,164.48398864289024,164.74830627441406,197729700
2015-02-02,165.24393365704213,166.87943616967166,163.43496283666747,166.78857421875,163107000
2015-02-03,167.68066983135327,169.20879920391286,167.3089664338,169.20053100585938,124212900
2015-02-04,168.44055681294967,169.64654124823144,168.10188848340294,168.5561981201172,134306700
2015-02-05,169.2169950571287,170.40645559253682,169.14265692465472,170.2577667236328,97953200
2015-02-06,170.62120995804588,171.182905242461,169.26654940663443,169.7869415283203,125672000
2015-02-09,169.1426798861956,169.86130713891177,168.622287680321,169.02703857421875,87219000
2015-02-10,170.05952712324256,171.0837749758462,169.06830163446324,170.8277130126953,96164200
2015-02-11,170.6625470171787,171.3563949145991,170.01825788329432,170.92686462402344,91087800
